iter	Passed	Remaining
0	5047	5042613
1	7835	3910136
2	12183	4048865
3	14644	3646365
4	16757	3334727
5	20220	3349894
6	24027	3408497
7	30975	3840912
8	33499	3688694
9	35808	3545014
10	38237	3437909
11	40421	3328000
12	42600	3234341
13	44883	3161105
14	47097	3092726
15	50032	3077025
16	52206	3018740
17	54109	2951965
18	56145	2898865
19	58134	2848612
20	60015	2797871
21	62005	2756431
22	63932	2715737
23	65925	2680960
24	67878	2647274
25	69994	2622099
26	72089	2597902
27	74196	2575675
28	76213	2551844
29	78219	2529082
30	80124	2504525
31	82123	2484245
32	84240	2468503
33	86212	2449455
34	88126	2429773
35	90041	2411121
36	92108	2397302
37	94222	2385307
38	96195	2370348
39	98222	2357351
40	100203	2343779
41	102217	2331542
42	104328	2321911
43	106454	2312963
44	108587	2304466
45	110507	2291832
46	112439	2279897
47	114351	2267962
48	116392	2258956
49	118415	2249902
50	120603	2244161
51	122823	2239171
52	124795	2229836
53	126898	2223066
54	128895	2214660
55	130868	2206072
56	132848	2197830
57	134779	2189002
58	136701	2180273
59	138864	2175548
60	139827	2152423
61	141553	2141568
62	143515	2134507
63	145449	2127204
64	147370	2119870
65	149355	2113611
66	151301	2106932
67	153216	2099964
68	155335	2095902
69	157259	2089305
70	159326	2084707
71	161305	2079054
72	163300	2073690
73	165196	2067188
74	167203	2062175
75	169152	2056534
76	171185	2052001
77	173107	2046222
78	174336	2032450
79	176138	2025594
80	178124	2020945
81	180183	2017177
82	182399	2015182
83	184289	2009635
84	186289	2005349
85	188296	2001197
86	190372	1997812
87	192374	1993702
88	194405	1989922
89	196464	1986472
90	198541	1983234
91	200581	1979655
92	202569	1975594
93	204621	1972200
94	206598	1968123
95	208699	1965254
96	210797	1962372
97	212251	1953576
98	214254	1949933
99	215727	1941543
100	217172	1933048
101	219107	1929002
102	221052	1925084
103	223207	1923014
104	224739	1915634
105	226795	1912783
106	228857	1909993
107	230916	1907195
108	232902	1903819
109	234976	1901171
110	236409	1893402
111	238368	1889923
112	240239	1885773
113	242340	1883455
114	244293	1880000
115	246298	1876962
116	248414	1874788
117	249446	1864508
118	251356	1860884
119	252533	1851911
120	254304	1847387
121	256342	1844826
122	258341	1841993
123	260216	1838306
124	262326	1836284
125	263726	1829341
126	265531	1825270
127	267420	1821803
