feature,importance
NEW_RATIO_BURO_CREDIT_DAY_OVERDUE_MEAN,0.0
BURO_CREDIT_CURRENCY_nan_MEAN,0.0
BURO_CREDIT_TYPE_Another type of loan_MEAN,0.0
CLOSED_CREDIT_TYPE_Loan for working capital replenishment_MEAN,0.0
BURO_CREDIT_TYPE_Cash loan (non-earmarked)_MEAN,0.0
CLOSED_CREDIT_TYPE_Loan for the purchase of equipment_MEAN,0.0
CLOSED_CREDIT_TYPE_Loan for purchase of shares (margin lending)_MEAN,0.0
BURO_CREDIT_TYPE_Interbank credit_MEAN,0.0
BURO_CREDIT_TYPE_Loan for purchase of shares (margin lending)_MEAN,0.0
BURO_CREDIT_TYPE_Loan for the purchase of equipment_MEAN,0.0
BURO_CREDIT_TYPE_Loan for working capital replenishment_MEAN,0.0
BURO_CREDIT_TYPE_Mobile operator loan_MEAN,0.0
BURO_CREDIT_TYPE_Real estate loan_MEAN,0.0
BURO_CREDIT_TYPE_Unknown type of loan_MEAN,0.0
BURO_CREDIT_TYPE_nan_MEAN,0.0
CLOSED_CREDIT_TYPE_Interbank credit_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Animals_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Additional Service_MEAN,0.0
PREV_NAME_CONTRACT_TYPE_nan_MEAN,0.0
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0.0
BURO_CREDIT_CURRENCY_currency 4_MEAN,0.0
CLOSED_CREDIT_TYPE_Cash loan (non-earmarked)_MEAN,0.0
BURO_CREDIT_CURRENCY_currency 3_MEAN,0.0
BURO_CREDIT_CURRENCY_currency 1_MEAN,0.0
PREV_NAME_PAYMENT_TYPE_nan_MEAN,0.0
PREV_NAME_PAYMENT_TYPE_Cashless from the account of the employer_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_nan_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Weapon_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Tourism_MEAN,0.0
PREV_CODE_REJECT_REASON_nan_MEAN,0.0
CLOSED_CREDIT_TYPE_nan_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Office Appliances_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Medical Supplies_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Insurance_MEAN,0.0
CLOSED_CREDIT_TYPE_Unknown type of loan_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buying a garage_MEAN,0.0
CLOSED_CREDIT_TYPE_Real estate loan_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Fitness_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Education_MEAN,0.0
BURO_CREDIT_ACTIVE_Bad debt_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Direct Sales_MEAN,0.0
CLOSED_CREDIT_TYPE_Mobile operator loan_MEAN,0.0
BURO_CREDIT_ACTIVE_nan_MEAN,0.0
BURO_CREDIT_CURRENCY_currency 2_MEAN,0.0
PREV_CODE_REJECT_REASON_SYSTEM_MEAN,0.0
CLOSED_CREDIT_TYPE_Another type of loan_MEAN,0.0
PREV_NAME_CONTRACT_STATUS_nan_MEAN,0.0
NEW_RATIO_BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Building a house or an annex_MEAN,0.0
CC_SK_DPD_MIN,0.0
NEW_RATIO_BURO_CREDIT_TYPE_Another type of loan_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Gasification / water supply_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Everyday expenses_MEAN,0.0
CC_SK_DPD_DEF_MIN,0.0
CC_SK_DPD_DEF_MAX,0.0
CC_CNT_DRAWINGS_OTHER_CURRENT_SUM,0.0
CC_CNT_DRAWINGS_OTHER_CURRENT_MIN,0.0
CC_CNT_DRAWINGS_OTHER_CURRENT_MAX,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buying a new car_MEAN,0.0
CC_CNT_DRAWINGS_ATM_CURRENT_MIN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Business development_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buying a home_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buying a holiday home / land_MEAN,0.0
CLOSED_AMT_CREDIT_SUM_DEBT_MIN,0.0
CLOSED_CREDIT_DAY_OVERDUE_MEAN,0.0
PREV_FLAG_LAST_APPL_PER_CONTRACT_nan_MEAN,0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,0.0
CLOSED_CREDIT_DAY_OVERDUE_MAX,0.0
PREV_NAME_CLIENT_TYPE_nan_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_nan_MEAN,0.0
CLOSED_CREDIT_CURRENCY_nan_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Wedding / gift / holiday_MEAN,0.0
CLOSED_CREDIT_CURRENCY_currency 4_MEAN,0.0
CLOSED_CREDIT_CURRENCY_currency 3_MEAN,0.0
CLOSED_CREDIT_CURRENCY_currency 2_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Refusal to name the goal_MEAN,0.0
